Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
"Tandon Family Foundation, Inc.",New York City,NY,United States,"$2,100",1,
Alice Koon Trust F/B/O Scholastic Fund,Oneida,NY,United States,"$2,064",1,
Mattimore Family Charitable Foundation,Millbury,MA,United States,"$2,060",3,
Malden Industrial Aid Society,Saugus,MA,United States,"$2,050",1,
The Woolley-Clifford Foundation,Englewood Cliffs,NJ,United States,"$2,050",1,
"The Quaker Hill Foundation, Inc.",North Andover,MA,United States,"$2,025",6,
The Sumner & Lois Herman Charitable Foundation,Worcester,MA,United States,"$2,013",3,
The Christopher and Patricia Higgins Arnold Foundation,Boston,MA,United States,"$2,000",8,
Walden Trust,Pittsburgh,PA,United States,"$2,000",6,
Hunter Family Charitable Trust,Framingham,MA,United States,"$2,000",5,
Paul O. & Mary Boghossian Foundation,Providence,RI,United States,"$2,000",5,
Roger & Barbara Michaels Family Fund Inc.,New York City,NY,United States,"$2,000",4,
The Don & Carol Schmidgall Family Foundation,Longmont,CO,United States,"$2,000",4,
Allen & Franka Charlupski Foundation,Brookline,MA,United States,"$2,000",3,
Madavi and Gaugarin Oliver Foundation,Wilmington,DE,United States,"$2,000",3,
The White Companies Charitable Trust,Auburn,MA,United States,"$2,000",3,
Vaughan W. Brown Family Foundation,Wilmington,DE,United States,"$2,000",3,
William A. Lynch Trust,Pittsburgh,PA,United States,"$2,000",3,
Carfagna Family Foundation,Cleveland,OH,United States,"$2,000",2,
"David and June Kim Foundation, Inc.",Windermere,FL,United States,"$2,000",2,
Dean L. & Rosemarie Buntrock Foundation,Oakbrook Terrace,IL,United States,"$2,000",2,
"Demarest Lloyd, Jr. Foundation",Brightwaters,NY,United States,"$2,000",2,
Du Bois Charitable Trust,Hanover,NH,United States,"$2,000",2,
Ita Group Foundation,West Des Moines,IA,United States,"$2,000",2,
John T. Collins Foundation,Osterville,MA,United States,"$2,000",2,
Kane-Barrengos Foundation,Providence,RI,United States,"$2,000",2,
Katharine L. W. and Winthrop M. Crane Iii Charitable Foundation,Boston,MA,United States,"$2,000",2,
Kathleen & Ronald J. Jackson Foundation,Pride'S Crossing,MA,United States,"$2,000",2,
Maria Marino Scholarship Fund,Avon,MA,United States,"$2,000",2,
"Michigan First Foundation, Inc.",Lathrup Village,MI,United States,"$2,000",2,
"Morris M. Rand Memorial Foundation, Inc.",Needham,MA,United States,"$2,000",2,
Noel-Shoemaker Family Foundation,Mercer Island,WA,United States,"$2,000",2,
Norman Knight Charitable Foundation,Boston,MA,United States,"$2,000",2,
"Otis A. Thompson Foundation, Inc.",Norwich,NY,United States,"$2,000",2,
Pajor Family Foundation,Las Vegas,NV,United States,"$2,000",2,
"Patricia and David Schulte Foundation, Inc.",Chicago,IL,United States,"$2,000",2,
"Raffiani Family Foundation, Inc.",Tuckahoe,NY,United States,"$2,000",2,
Rchn Community Health Fnd Inc,New York City,NY,United States,"$2,000",2,
"Richard & Natalie Jacoff Foundation, Inc.",New York City,NY,United States,"$2,000",2,
Superstar Foundation Inc.,Baltimore,MD,United States,"$2,000",2,
The Allayne and Douglas Wick Foundation,Gates Mills,OH,United States,"$2,000",2,
The Annette Urso Rickel Foundation,New York City,NY,United States,"$2,000",2,
The Burton Family Foundation,Tampa,FL,United States,"$2,000",2,
The Chirag Foundation,Carlisle,MA,United States,"$2,000",2,
"The Dolphin Foundation, Inc.",Washington,DC,United States,"$2,000",2,
The Kelsey Family Foundation,Nesconset,NY,United States,"$2,000",2,
The Kurian Foundation Trust,Stow,MA,United States,"$2,000",2,
"The Leah and Alain Lebec Foundation, Inc.",Wilmington,DE,United States,"$2,000",2,
The Mazur Family Foundation,New York City,NY,United States,"$2,000",2,
The Ruth L. Lee Fund,Los Angeles,CA,United States,"$2,000",2,
The Sand Foundation,Wilmington,DE,United States,"$2,000",2,
The Stanton Family Foundation,Palm Beach,FL,United States,"$2,000",2,
Toby Wintrub Charitable Foundation,Boulder,CO,United States,"$2,000",2,
Allison Family Charitable Foundation,Belmont,MA,United States,"$2,000",1,
"Andrew J. and Anita G. Frankel Family Foundation, Inc.",Stamford,CT,United States,"$2,000",1,
Caulkins Family Foundation,Denver,CO,United States,"$2,000",1,
Charles A. Mastronardi Foundation,Wilmington,DE,United States,"$2,000",1,
Charles E. Harwood Trust,Bluffton,SC,United States,"$2,000",1,
"Clifford Woolf, Phd",Boston,MA,United States,"$2,000",1,
Csk Charitable Foundation,Englewood Cliffs,NJ,United States,"$2,000",1,
"Ctw Foundation, Inc.",Wilmington,DE,United States,"$2,000",1,
Cultures of Resistance Network Foundation,Wilmington,DE,United States,"$2,000",1,
"David L. Klein, Jr. Foundation",Wilmington,DE,United States,"$2,000",1,
Dudley and Constance Godfrey Foundation Inc.,Milwaukee,WI,United States,"$2,000",1,
"Dweck Charitable Fund, Inc.",Boca Raton,FL,United States,"$2,000",1,
"Fadem Family Foundation, Inc.",New Rochelle,NY,United States,"$2,000",1,
Fish 153 Foundation,Seattle,WA,United States,"$2,000",1,
Girls Rights Project,Woodside,CA,United States,"$2,000",1,
Global Promise Foundation,Scottsdale,AZ,United States,"$2,000",1,
Gramercy Park Foundation Inc.,New York City,NY,United States,"$2,000",1,
"Jerry J. Wilson Memorial Foundation, Inc.",Novato,CA,United States,"$2,000",1,
Joy Street Foundation,New Vernon,NJ,United States,"$2,000",1,
Kayden Foundation,Harrison,NY,United States,"$2,000",1,
Madeleine H. Soren Trust,Pittsburgh,PA,United States,"$2,000",1,
Maple Hill Foundation,West Conshohocken,PA,United States,"$2,000",1,
Michael and Suzanne Carusillo Charitable Foundation,Chicago,IL,United States,"$2,000",1,
Millicent C. Starr Charitable Trust,Boston,MA,United States,"$2,000",1,
Monroe Brown Foundation,Kalamazoo,MI,United States,"$2,000",1,
Oppenheim Charitable Foundation,Jacksonville,FL,United States,"$2,000",1,
"Pat Covelli Foundation, Inc.",Long Island City,NY,United States,"$2,000",1,
Pilgrim Bank Foundation,South Weymouth,MA,United States,"$2,000",1,
Raymond and Irene Wilborn Charitable Foundation,Louisville,KY,United States,"$2,000",1,
Richard and Kathleen Zacky Family Foundation,Santa Barbara,CA,United States,"$2,000",1,
"Telaka Foundation, Inc.",Boston,MA,United States,"$2,000",1,
The F. Thomas & Patricia D. Westcott Foundation,Attleboro,MA,United States,"$2,000",1,
"The Kahlert Foundation, Inc.",Sykesville,MD,United States,"$2,000",1,
"The Kean Foundation, Inc.",Parsippany,NJ,United States,"$2,000",1,
"The Landegger Charitable Foundation, Inc.",Rye Brook,NY,United States,"$2,000",1,
The Open Charitable Trust,Wellesley,MA,United States,"$2,000",1,
The Webber Family Foundation,Austin,TX,United States,"$2,000",1,
Trustees of the Ayer Home,Lowell,MA,United States,"$2,000",1,
Walker Family Foundation,Indianapolis,IN,United States,"$2,000",1,
Wilks Family Foundation,Purchase,NY,United States,"$2,000",1,
C.B. Laub Family Foundation,Potomac,MD,United States,"$1,975",4,
Abbvie Foundation,North Chicago,IL,United States,"$1,916",15,
"Joyce Jay Raymond Foundation, Inc",Marblehead,MA,United States,"$1,831",2,
Mary and James G. Wallach Foundation,Purchase,NY,United States,"$1,820",2,
Bill and Sharon Arnold Family Foundation,Little Rock,AR,United States,"$1,809",2,
Hannah S. and Samuel A. Cohn Memorial Foundation,Wilkes-Barre,PA,United States,"$1,800",1,
Solomon Organization Charitable Trust,Summit,NJ,United States,"$1,800",1,
Faye H. Deane Scholarship Fund,Woods Hole,MA,United States,"$1,787",1,
"Keidan Family Foundation, Inc.",Briarcliff Manor,NY,United States,"$1,778",1,
The Rose Marrow Fund,Fairfield,NJ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Jackson,MI,United States,"$1,500",3,
Floyd Family Foundation,Palo Alto,CA,United States,"$1,500",3,
Robbins Nest Foundation,Beverly,MA,United States,"$1,500",3,
"The Dammann Fund, Inc.",New York City,NY,United States,"$1,500",3,
"Bermil Foundation, Inc.",Wilmington,VT,United States,"$1,500",2,
Knox Family Foundation,Philadelphia,PA,United States,"$1,500",2,
"Memorial Fund, Inc.",Palo Alto,CA,United States,"$1,500",2,
Perley Family Charitable Foundation,Tewksbury,MA,United States,"$1,500",2,
Spero Charitable Foundation,Peabody,MA,United States,"$1,500",2,
"The Alpert Family Foundation, Inc.",Larchmont,NY,United States,"$1,500",2,
The Baker Brook Foundation,Concord,MA,United States,"$1,500",2,
The Cme Community Foundation,Chicago,IL,United States,"$1,500",2,
The Horace Williams Memorial Fund,Augusta,ME,United States,"$1,500",2,
Weissman Family Charitable Foundation,Waltham,MA,United States,"$1,500",2,
Westminster Barrington Foundation,Rochester,NY,United States,"$1,500",2,
"Acrocorinth, Inc.",New York City,NY,United States,"$1,500",1,
Arthur Ashley Williams Foundation,Holliston,MA,United States,"$1,500",1,
Bruce & Melissa Fischer Family Foundation,New York City,NY,United States,"$1,500",1,
Bruce G. Cochener Foundation,Wichita,KS,United States,"$1,500",1,
Charles & Brenda Larsen Family Foundation,Johns Island,SC,United States,"$1,500",1,
David and Susan Kreisman Family Foundation,Delray Beach,FL,United States,"$1,500",1,
"Donald E. Garrant Foundation, Inc.",Wakefield,MA,United States,"$1,500",1,
"East Longmeadow Rotary Memorial Scholarship Foundation, Inc.",East Longmeadow,MA,United States,"$1,500",1,
"Ephesians 3 20 Foundation, Inc.",Naples,FL,United States,"$1,500",1,
Feller Family Charitable Foundation Trust,Boston,MA,United States,"$1,500",1,
Fitzgerald Family Foundation,Boca Grande,FL,United States,"$1,500",1,
Greater Norwich Fdn,Norwich,NY,United States,"$1,500",1,
Harding Foundation,Raymondville,TX,United States,"$1,500",1,
"Metzger-Price Fund, Inc.",New York City,NY,United States,"$1,500",1,
Morris J. & Betty Kaplun Foundation Inc.,New York City,NY,United States,"$1,500",1,
National Urban Indian Family Coalition,Seattle,WA,United States,"$1,500",1,
Oak Grove Foundation,Minneapolis,MN,United States,"$1,500",1,
Papanek Family Foundation,Cross Plains,WI,United States,"$1,500",1,
Quigley & Heffernan Family Charitable Trust,Duxbury,MA,United States,"$1,500",1,
"Ron Beller & Jennifer Moses Family Foundation, Inc.",San Francisco,CA,United States,"$1,500",1,
"Service Center of Greater Lawrence, Inc.",Andover,MA,United States,"$1,500",1,
Storper Foundation,Long Beach,NY,United States,"$1,500",1,
"Susan and Elihu Rose Foundation, Inc.",New York City,NY,United States,"$1,500",1,
The George and Sara Stern Foundation,Boston,MA,United States,"$1,500",1,
"The Laurie M. Tisch Foundation, Inc.",New York City,NY,United States,"$1,500",1,
The Orr Foundation,Providence,RI,United States,"$1,500",1,
"The Savings Bank Charitable Foundation, Inc.",Wakefield,MA,United States,"$1,500",1,
The Stern Family Foundation,Beverly Hills,CA,United States,"$1,500",1,
"Weinshel/Goldfarb Foundation, Inc.",Ridgewood,NJ,United States,"$1,500",1,
Richard M. Allen Charitable Trust,Great Barrington,MA,United States,"$1,475",4,
Elkind Family Foundation,Palo Alto,CA,United States,"$1,450",6,
Rehm Family Foundation,Hobe Sound,FL,United States,"$1,450",4,
Baumol Family Foundation,New York City,NY,United States,"$1,450",2,
Charles River Charitable Foundation,Magnolia,MA,United States,"$1,436",1,
Meredith Corporation Foundation,Des Moines,IA,United States,"$1,425",5,
Isaac Harris Cary Educational Fund,Lexington,MA,United States,"$1,420",2,
Lester & Joan Sadowsky Family Charitable Foundation,Palm Beach,FL,United States,"$1,400",2,
Main Street Community Foundation,Bristol,CT,United States,"$1,400",1,
"Simmons Family Foundation, Inc.",Greenwich,CT,United States,"$1,350",3,
Bruce E. and Lynn D. Holbein Charitable Foundation,Pittsboro,NC,United States,"$1,300",5,
Schoenhut Family Foundation Inc,Avon-By-The-Sea,NJ,United States,"$1,300",4,
Arete Foundation,Philadelphia,PA,United States,"$1,257",2,
Silverman Family Foundation Inc.,Boston,MA,United States,"$1,256",1,
Woodward Family Charitable Foundation,New York City,NY,United States,"$1,250",5,
The Jackey Foundation,East Moriches,NY,United States,"$1,250",3,
The Ross Family Foundation,Philadelphia,PA,United States,"$1,250",3,
Zeitz Foundation,Norwood,MA,United States,"$1,250",3,
Gebelein Foundation,Taunton,MA,United States,"$1,250",2,
"Kahn Foundation, Inc.",Mountville,PA,United States,"$1,250",2,
Marie C. and Joseph C. Wilson Foundation,Chicago,IL,United States,"$1,250",2,
Modera Charitable Foundation,Wilmington,DE,United States,"$1,250",2,
"Wolf & Company Charitable Foundation, Inc.",Boston,MA,United States,"$1,250",2,
Robert and Martha and John Atherton Foundation,Crystal Lake,IL,United States,"$1,250",1,
Sangster Family Foundation,South Lyon,MI,United States,"$1,250",1,
Winifred & Harry B. Allen Foundation,Belvedere,CA,United States,"$1,250",1,
Cohen-Solomon Family Foundation,Brookline,MA,United States,"$1,230",2,
Stephen F. Quill Family Foundation,Lancaster,MA,United States,"$1,225",2,
R. Elaine Croston Scholarship Fund,Providence,RI,United States,"$1,225",1,
Bernard G. Berkman and Nancy J. Berkman Foundation,Boston,MA,United States,"$1,200",7,
David and Katherine Moore Family Foundation,Rye Brook,NY,United States,"$1,200",2,
Fitts Family Foundation Inc,Plymouth,MA,United States,"$1,200",2,
Rgf Family Fund,Tulsa,OK,United States,"$1,200",2,
"Sarah Gillette Services for the Elderly, Inc.",Westfield,MA,United States,"$1,200",2,
In Vivo Productions Inc.,Boston,MA,United States,"$1,170",3,
The Ives Family Charitable Trust,Boston,MA,United States,"$1,150",6,
The Cory and Bob Donnalley Charitable Foundation,Greenwich,CT,United States,"$1,150",2,
The Arons Family Foundation,Cambridge,MA,United States,"$1,100",5,
Edward & Julia Hansen Foundation,Palm Beach,FL,United States,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Vineyard Haven,MA,United States,"$1,000",2,
Marine Society of the City of New York,New York City,NY,United States,"$1,000",2,
A. S. & Elsie Hirshman Charitable Trust,Boston,MA,United States,"$1,000",1,
Agrawal Family Foundation,Miramar,FL,United States,"$1,000",1,
American Water Charitable Foundation Inc.,Camden,NJ,United States,"$1,000",1,
"Arthur C. Murray Charitable Foundation, Inc.",South Weymouth,MA,United States,"$1,000",1,
B Street Foundation,Providence,RI,United States,"$1,000",1,
Bachmann Strauss Family Fund,Albany,NY,United States,"$1,000",1,
Baker-Adams Scholarship Fund,Providence,RI,United States,"$1,000",1,
Bascom Charitable Foundation,Clayton,MO,United States,"$1,000",1,
Betsey E. Babcock Trust,Providence,RI,United States,"$1,000",1,
Beulah Land Foundation,Saratoga,CA,United States,"$1,000",1,
Bewkes Family Foundation,Vero Beach,FL,United States,"$1,000",1,
Bismillah Charity Trust,Andover,MA,United States,"$1,000",1,
"Bob and Pat Barker Foundation,Inc.F/K/A Robert J Barker Jr. Foundation Inc",Fuquay Varina,NC,United States,"$1,000",1,
Branson Family Foundation,Los Altos,CA,United States,"$1,000",1,
Bucks Creek Foundation,Wilmington,DE,United States,"$1,000",1,
C. Louis Meyer Family Foundation,Lake in the Hills,IL,United States,"$1,000",1,
Caithness Foundation,Falmouth,MA,United States,"$1,000",1,
Carl Forstmann Memorial Foundation,Greenwich,CT,United States,"$1,000",1,
Carnahan Family Foundation,Chicago,IL,United States,"$1,000",1,
Carval Investors Foundation,Hopkins,MN,United States,"$1,000",1,
Charles M. Cox Charitable Trust,Providence,RI,United States,"$1,000",1,
"Charles O., Iii & Miriam M. Wood Foundation",Cambridge,MA,United States,"$1,000",1,
Coleys Cause Charitable Trust Foundation,Raynham,MA,United States,"$1,000",1,
Dicks Sporting Goods Foundation,Coraopolis,PA,United States,"$1,000",1,
Donald and Yvonne Keamy Family Foundation,Andover,MA,United States,"$1,000",1,
"Early Childhood Initiative, Inc.",Miami,FL,United States,"$1,000",1,
Edwards Lienhart Family Foundation,Portland,OR,United States,"$1,000",1,
"Elaine Gorbach Levine Charitable Foundation, Inc.",Chevy Chase,MD,United States,"$1,000",1,
"Everett Foundation, Inc.",New York City,NY,United States,"$1,000",1,
Faith and William Pautler Family Foundation,Chester,IL,United States,"$1,000",1,
Fand Family Charitable Trust,Brookline,MA,United States,"$1,000",1,
Ferraro Family Foundation Inc.,Miami,FL,United States,"$1,000",1,
Fife Family Foundation Inc.,Los Angeles,CA,United States,"$1,000",1,
Florence Petrlik Family Foundation,Providence,RI,United States,"$1,000",1,
Frank & Ellen Cobb Memorial Scholars,Providence,RI,United States,"$1,000",1,
"Fraser Family Foundation, Inc.",Boston,MA,United States,"$1,000",1,
Fred W. Wells Trust Fund,Greenfield,MA,United States,"$1,000",1,
"George A. Ramlose Foundation, Inc.",Sterling,MA,United States,"$1,000",1,
Gerald Flaxer Charitable Foundation,Cambridge,MA,United States,"$1,000",1,
"Goldman-Sonnenfeldt Foundation, Inc.",New York City,NY,United States,"$1,000",1,
Greene Van Arsdale Foundation,San Mateo,CA,United States,"$1,000",1,
Gregg and Freddy Goldenberg Family Foundation,Wilmington,DE,United States,"$1,000",1,
Hathaway Family Foundation,Millbrook,NY,United States,"$1,000",1,
Henry G. and Dorothy M. Kleemeier Fund,Tulsa,OK,United States,"$1,000",1,
Hunter Charitable Trust,Dobbs Ferry,NY,United States,"$1,000",1,
Isabel Rose Foundation,New York City,NY,United States,"$1,000",1,
Israel & Mollie Myers Foundation,Baltimore,MD,United States,"$1,000",1,
J. S. Howe Family Foundation,Darien,CT,United States,"$1,000",1,
J. Watumull Fund,Honolulu,HI,United States,"$1,000",1,
Jack and Bonnie Mollen Charitable Foundation Trust,Melbourne,FL,United States,"$1,000",1,
Jack H. & Ruth C. Campbell Foundation,Boston,MA,United States,"$1,000",1,
Jerrold Van Winter Charitable Foundation,Rockville,MD,United States,"$1,000",1,
John and Kathleen Schreiber Foundation,Lake Forest,IL,United States,"$1,000",1,
John H Grace Foundation,Fullerton,CA,United States,"$1,000",1,
Johnson and Louise H. Clark Charitable Foundation,Saratoga,CA,United States,"$1,000",1,
Joseph and Eva Flaherty Charitable,Andover,MA,United States,"$1,000",1,
Joseph H. & Barbara I. Ellis Foundation,Iselin,NJ,United States,"$1,000",1,
"Jsl Foundation, Inc.",Westbrook,ME,United States,"$1,000",1,
Kenneth Rainin Foundation,Oakland,CA,United States,"$1,000",1,
Kinder Morgan Foundation,Houston,TX,United States,"$1,000",1,
Kurtz Family Foundation Trust,Georgetown,CT,United States,"$1,000",1,
Laraine Cohen Levy Family Foundation,Weston,MA,United States,"$1,000",1,
Lawrence C. Ng Family Foundation,Los Angeles,CA,United States,"$1,000",1,
Marjorie Harris Reynolds Foundation,Boston,MA,United States,"$1,000",1,
Marys Pence,Saint Paul,MN,United States,"$1,000",1,
Mass General Dr Frigoletto,Newton,MA,United States,"$1,000",1,
Mathieson Family Foundation,Pittsburgh,PA,United States,"$1,000",1,
Max Wendell & Bertha Tilton Scholarship Fund,Providence,RI,United States,"$1,000",1,
Michael Chernow Trust,Larchmont,NY,United States,"$1,000",1,
Miller S. & Adelaide S. Gaffney Foundation,Elmira,NY,United States,"$1,000",1,
Milton L. Williams Trust,Boston,MA,United States,"$1,000",1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Omnia Foundation,San Francisco,CA,United States,"$1,000",1,
Patricia Schoenberg Charitable Foundation,Chicago,IL,United States,"$1,000",1,
Preston S. and Barbara J. Parish Foundation,Kalamazoo,MI,United States,"$1,000",1,
R & R Foundation Inc.,Bradenton,FL,United States,"$1,000",1,
Red Bird Hollow Foundation,Lake Forest,IL,United States,"$1,000",1,
Reid Williams Foundation,New York City,NY,United States,"$1,000",1,
Robert A. Jaye Foundation Charitable Trust,Newton,MA,United States,"$1,000",1,
Robert/Evelyn Pedersen Family Foundation,Boise,ID,United States,"$1,000",1,
"Rothstein Foundation, Inc.",Somerville,MA,United States,"$1,000",1,
"Serendipity Foundation, Inc.",Fort Lauderdale,FL,United States,"$1,000",1,
Seyfarth Shaw Charitable Foundation,Chicago,IL,United States,"$1,000",1,
Smbc Global Foundation Inc.,New York City,NY,United States,"$1,000",1,
"Sonia Raymund Foundation, Inc.",St Petersburg,FL,United States,"$1,000",1,
Stephen and Alice Cutler Family Fndtn,Boston,MA,United States,"$1,000",1,
Suez North America Foundation Inc.,Paramus,NJ,United States,"$1,000",1,
The Argo Family Fund,Atlanta,GA,United States,"$1,000",1,
The Breidegam Family Foundation,Fleetwood,PA,United States,"$1,000",1,
"The Brook Fund, Inc.",Allendale,NJ,United States,"$1,000",1,
The Campana Foundation,George West,TX,United States,"$1,000",1,
The Carmax Foundation,Richmond,VA,United States,"$1,000",1,
The Carol A. and James J. Mcinnis Charitable Trust,North Andover,MA,United States,"$1,000",1,
The Cogitare Foundation,South Salem,NY,United States,"$1,000",1,
The Cole Foundation Inc.,Fallston,MD,United States,"$1,000",1,
The Comegys Bight Charitable Foundation,Wickenburg,AZ,United States,"$1,000",1,
The Community Foundation for the Greater Capital Region,Albany,NY,United States,"$1,000",1,
The Concannon Family Foundation,New York City,NY,United States,"$1,000",1,
The Crawford-Doyle Charitable Foundation,New York City,NY,United States,"$1,000",1,
The Derald H. Ruttenberg Foundation,New York City,NY,United States,"$1,000",1,
The Downs Foundation,North Palm Beach,FL,United States,"$1,000",1,
"The Earle I. Mack Foundation, Inc.",Lake Success,NY,United States,"$1,000",1,
The Edward L. Hutton Foundation,Cincinnati,OH,United States,"$1,000",1,
The Efm Foundation,Newtown Square,PA,United States,"$1,000",1,
The Ellen and Gary Davis Foundation,Greenwich,CT,United States,"$1,000",1,
The Eric & Barbara Carle Foundation,Northampton,MA,United States,"$1,000",1,
The Evans Family Foundation,Ipswich,MA,United States,"$1,000",1,
The Fannie Cox Foundation,Southborough,MA,United States,"$1,000",1,
The Feldstein Foundation,Sacramento,CA,United States,"$1,000",1,
"The Focus Foundation, Inc.",Stamford,CT,United States,"$1,000",1,
The Frisbie Family Foundation,Boston,MA,United States,"$1,000",1,
The Gruber Family Foundation,Highland Beach,FL,United States,"$1,000",1,
The Hanson Family Foundation Inc.,New York City,NY,United States,"$1,000",1,
The Heymann Foundation,Holland,OH,United States,"$1,000",1,
The Hillenbrand Family Foundation,Charleston,SC,United States,"$1,000",1,
"The Humana Foundation, Inc.",Louisville,KY,United States,"$1,000",1,
The Kaye Family Foundation,Albany,NY,United States,"$1,000",1,
The Kurz Family Foundation Ltd.,New York City,NY,United States,"$1,000",1,
The Laszlo N. Tauber Family Foundation,North Bethesda,MD,United States,"$1,000",1,
The Lockhart Family Foundation,Fort Lauderdale,FL,United States,"$1,000",1,
The Loftus Family Foundation,Wilmington,DE,United States,"$1,000",1,
The Louis Feinberg Foundation,New York City,NY,United States,"$1,000",1,
The Louise and Alfred A. Gilbert Foundation,Philadelphia,PA,United States,"$1,000",1,
The Lux Foundation,New York City,NY,United States,"$1,000",1,
The Lyle B. & Wanda K. Ganyard Scholarship Trust,Columbus,OH,United States,"$1,000",1,
The M. P. D. Higgins Foundation,Boston,MA,United States,"$1,000",1,
The Maarten and Mavis Hemsley Family Foundation Inc.,Duxbury,MA,United States,"$1,000",1,
The Maclean Charitable Foundation,New Bedford,MA,United States,"$1,000",1,
The Marinella Family Foundation,Boston,MA,United States,"$1,000",1,
The Midvale Foundation,Wilmington,DE,United States,"$1,000",1,
"The Murthynayak Foundation, Inc.",Lutherville,MD,United States,"$1,000",1,
The Norbell Foundation,Appleton,WI,United States,"$1,000",1,
The O'Hanian-Szostak Family Foundation,Providence,RI,United States,"$1,000",1,
"The One Foundation, Inc.",Boston,MA,United States,"$1,000",1,
The Pacer Foundation,Waltham,MA,United States,"$1,000",1,
The Paolo Pellegrini and Henrietta Jones Foundation,New York City,NY,United States,"$1,000",1,
The Red Cabin Trust Foundation Agreement 123008,Wenatchee,WA,United States,"$1,000",1,
"The Robins Family Foundation, Inc.",New York City,NY,United States,"$1,000",1,
The Roxbury Trust Fund Committee Trust,Dorchester,MA,United States,"$1,000",1,
The Sanford & Linda Gallanter Foundation,San Francisco,CA,United States,"$1,000",1,
The Schmitt Family Charitable Trust,Winnetka,IL,United States,"$1,000",1,
The Sharma Family Private Foundation,Webster,MA,United States,"$1,000",1,
The Shumway Foundation,Greenwich,CT,United States,"$1,000",1,
The Single Step Foundation,Waltham,MA,United States,"$1,000",1,
The Smith Foundation,Wilmington,DE,United States,"$1,000",1,
The Spanx By Sara Blakely Foundation Inc.,Atlanta,GA,United States,"$1,000",1,
The Sprocket Foundation,New Hope,PA,United States,"$1,000",1,
The Taylor Foundation,Boston,MA,United States,"$1,000",1,
The Tremblay Family Foundation,Marblehead,MA,United States,"$1,000",1,
The William and Joan Alfond Foundation,Portland,ME,United States,"$1,000",1,
The Wolf Family Charitable Trust,Wayland,MA,United States,"$1,000",1,
The Yablon Family Foundation Inc.,Wilmington,DE,United States,"$1,000",1,
Town Fair Tire Foundation Inc.,East Haven,CT,United States,"$1,000",1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,$804,7,
Eastman Charitable Foundation,Lexington,MA,United States,$800,2,
Patten Family Foundation,Inverness,IL,United States,$800,2,
Charles Schwab Foundation,Lone Tree,CO,United States,$781,2,
Fresh Pond Trust,Cambridge,MA,United States,$750,3,
Richard and Mary Gray Foundation,Chicago,IL,United States,$750,3,
The Behrakis Foundation,Lexington,MA,United States,$750,3,
The Steven E. and Michelle Karol Charitable Foundation Trust,Boston,MA,United States,$750,3,
"Arthur C. & Rose R. Brinker Foundation, Inc.",Boynton Beach,FL,United States,$750,2,
David & Robin Jaye Foundation Charitable Trust,Boston,MA,United States,$750,2,
Hanley Foundation,Amherst,MA,United States,$750,2,
Jim & Ruth Couture Charitable Foundation,Fitchburg,MA,United States,$750,2,
"The Jennifer and David Dean Grumhaus, Jr. Foundation",Lake Forest,IL,United States,$750,2,
Ben Cohen Charitable Trust,Burlington,VT,United States,$750,1,
Eaton & Reed Scholarship Fund Trust,Providence,RI,United States,$750,1,
Gemayel Family Foundation,Sudbury,MA,United States,$750,1,
The Glein Family Foundation,Gig Harbor,WA,United States,$750,1,
"The Sad Foundation, Inc.",Indian River Shores,FL,United States,$750,1,
Broughton Charitable Foundation,Brookline,MA,United States,$705,2,
"Russell'S Garden Center Charitable Foundation, Inc.",Wayland,MA,United States,$700,7,
John and Kelly Hartman Foundation,West Hartford,CT,United States,$700,4,
Dyer Family,Fort Wayne,IN,United States,$700,2,
"James R. Gardner Foundation, Inc.",Edgartown,MA,United States,$700,2,
"Roberts Foundation, Inc.",Forest Hills,NY,United States,$700,2,
The Kenneth D. Bane Foundation Inc.,Salem,MA,United States,$700,2,
Arcadia & Gladys E. Giura Scholarship Fund,Providence,RI,United States,$700,1,
Maxwell V. Blum Family Foundation,Boston,MA,United States,$670,2,
Shurtleff Children'S Services,Providence,RI,United States,$663,1,
The Goldberg Foundation,Chestnut Hill,MA,United States,$650,4,
The George H. Scanlon Foundation,Okoboji,IA,United States,$650,3,
The Lewis M. & Esther Perlstein Family Foundation,Worcester,MA,United States,$650,2,
Helen C.S. Botsford Trust,Providence,RI,United States,$650,1,
Mckesson Foundation,Dallas,TX,United States,$625,3,
"Charles E. Larner, Jr. Trust",Amesbury,MA,United States,$620,1,
